Wavelength(nm)	R	G	B
392	0.113726233641050	0.0770642393387765	0.349928598373869
393	0.109626786629382	0.0746009167125139	0.359752926972749
394	0.104868769650948	0.0721375940862514	0.369577255571630
395	0.0977225981157647	0.0696742714599888	0.379401584170510
396	0.0905764265805811	0.0672109488337262	0.389549520327486
397	0.0834302550453975	0.0647476262074636	0.400527789270563
398	0.0789822190125433	0.0622843035812011	0.411506058213640
399	0.0762692794342078	0.0598209809549385	0.422484327156717
400	0.0735563398558723	0.0573576583286759	0.437526352180032
401	0.0708434002775367	0.0548943357024134	0.453699608120668
402	0.0681304606992012	0.0526547449746953	0.469872864061304
403	0.0654175211208657	0.0516353231206412	0.490748860574187
404	0.0627045815425302	0.0506159012665870	0.511679229812587
405	0.0599916419641946	0.0495964794125329	0.528676638375552
406	0.0579803517578124	0.0485770575584787	0.541844824930450
407	0.0563752849787420	0.0475576357044246	0.555013011485348
408	0.0547702181996717	0.0465382138503705	0.568181198040246
409	0.0531651514206014	0.0455187919963163	0.581349384595144
410	0.0515600846415311	0.0444993701422622	0.585278621379214
411	0.0499550178624607	0.0434799482882080	0.583973629755778
412	0.0483499510833904	0.0424605264341539	0.582668638132342
413	0.0467448843043201	0.0414411045800997	0.581363646508906
414	0.0451398175252497	0.0403130838087428	0.580058654885470
415	0.0435347507461794	0.0391310768530516	0.578753663262033
416	0.0419296839671091	0.0379490698973604	0.577448671638597
417	0.0403246171880388	0.0367670629416692	0.576143680015161
418	0.0389427964393038	0.0355850559859781	0.579464582479557
419	0.0376106302628101	0.0344030490302869	0.584898274181278
420	0.0362784640863163	0.0332210420745957	0.590331965882998
421	0.0349462979098225	0.0320390351189045	0.595765657584719
422	0.0336141317333288	0.0308570281632133	0.601199349286440
423	0.0322819655568350	0.0296750212075221	0.606633040988160
424	0.0309497993803413	0.0284930142518309	0.613649335632576
425	0.0296176332038475	0.0273110072961397	0.623544950726587
426	0.0282854670273537	0.0261290003404485	0.633440565820597
427	0.0269533008508600	0.0259615195494638	0.643241823264834
428	0.0256211346743662	0.0261008590122450	0.650953234844510
429	0.0242889684978725	0.0262401984750263	0.658664646424186
430	0.0231570936248104	0.0263795379378076	0.666376058003862
431	0.0223635362786433	0.0265188774005889	0.674087469583538
432	0.0215699789324762	0.0266582168633701	0.681798881163213
433	0.0207764215863091	0.0267975563261514	0.687755746876707
434	0.0199828642401419	0.0269368957889327	0.692657918483927
435	0.0191893068939749	0.0270762352517140	0.697560090091146
436	0.0183957495478077	0.0272155747144952	0.702462261698365
437	0.0176021922016407	0.0273549141772765	0.707364433305584
438	0.0168086348554735	0.0274955904391128	0.712266604912803
439	0.0160150775093064	0.0276986076573787	0.717168776520023
440	0.0152215201631393	0.0279016248756446	0.722070948127242
441	0.0144279628169722	0.0281046420939105	0.722428501261305
442	0.0136344054708051	0.0283076593121764	0.721563153365945
443	0.0129796600884089	0.0285106765304423	0.720697805470585
444	0.0123368389089899	0.0287136937487083	0.719832457575225
445	0.0116940177295708	0.0289167109669742	0.718967109679865
446	0.0110511965501518	0.0291197281852401	0.718101761784506
447	0.0104083753707328	0.0293227454035060	0.717236413889146
448	0.00976555419131372	0.0295257626217719	0.716371065993786
449	0.00912273301189468	0.0297287798400378	0.723998372007917
450	0.00847991183247564	0.0297837478754438	0.731766502380307
451	0.00783709065305661	0.0297865709790754	0.739534632752697
452	0.00719426947363757	0.0297893940827070	0.747302763125087
453	0.00655144829421853	0.0297922171863387	0.755070893497476
454	0.00590862711479949	0.0297950402899703	0.762839023869866
455	0.00556834009070205	0.0297978633936020	0.770607154242256
456	0.00557116319433369	0.0298006864972336	0.778375284614645
457	0.00557398629796533	0.0298035096008652	0.786143414987035
458	0.00557680940159698	0.0346318391250296	0.793911545359425
